"","Date","Text","bing_score","nrc_score","afin_score"
"257","2017-03-06"," construction amp manufacturing jobs in the u s gulf coast region billion investment we are already winning again america ",1,1,1
"261","2017-03-07","don t worry getting rid of state lines which will promote competition will be in phase amp of healthcare rollout foxandfriends",-1,-1,-1
"265","2017-03-07"," vicious prisoners released by the obama administration from gitmo have returned to the battlefield just another terrible decision ",-1,-1,-1
"269","2017-03-08","linkedin workforce report january and february were the strongest consecutive months for hiring since august and september ",1,1,1
"272","2017-03-09","despite what you hear in the press healthcare is coming along great we are talking to many groups and it will end in a beautiful picture ",1,1,1
"273","2017-03-09","rt foxnation realdonaldtrump s first full month in office sees biggest jobs gain in years report  t co rx bgi mwk",1,1,1
"274","2017-03-09"," u s consumer comfort just reached its highest level in a decade  t co s nzgmemmv  t co xc pira ep",1,1,1
"285","2017-03-13","proud to welcome our great cabinet this afternoon for our first meeting unfortunately seats were empty because s  t co bmyph hf",1,1,1
"287","2017-03-14","great optimism in america and the results will be even better  t co sybl cszn",1,1,1
"288","2017-03-15","will be going to detroit michigan love today for a big meeting on bringing back car production to state amp u s already happening ",1,1,1
"292","2017-03-15","looking forward to a big rally in nashville tennessee tonight big crowd of great people expected will be fun ",1,1,1
"293","2017-03-15","i will be interviewed by tuckercarlson tonight at p m on foxnews enjoy ",1,1,1
"294","2017-03-15","can you imagine what the outcry would be if snoopdogg failing career and all had aimed and fired the gun at president obama jail time ",-1,-1,-1
"297","2017-03-16","an honor to welcome the taoiseach of ireland endakennytd to the whitehouse today with vp pence  t co j itl isiq",1,1,1
"298","2017-03-16","great progress on healthcare improvements being made republicans coming together ",1,1,1
"301","2017-03-16","rt ushcc ushcc was delighted to host ivankatrump for a roundtable discussion w hispanic women biz owners today in washington ushcclegi ",1,1,1
"302","2017-03-17","happy l fheile phadraig to all of my great irish friends ",1,1,1
"303","2017-03-17","rt americafirstpol major impact potus trump is days in and moving swiftly to get america back on the right track maga  t c ",1,1,1
"310","2017-03-17"," the president changed so has small businesses confidence  t co datgjpmyej",1,1,1
"316","2017-03-20","the democrats made up and pushed the russian story as an excuse for running a terrible campaign big advantage in electoral college amp lost ",-1,-1,-1
"318","2017-03-20","congratulations eric amp lara very proud and happy for the two of you  t co s t ctqc ",1,1,1
"319","2017-03-20","just heard fake news cnn is doing polls again despite the fact that their election polls were a way off disaster much higher ratings at fox",-1,-1,-1
"320","2017-03-20","james clapper and others stated that there is no evidence potus colluded with russia this story is fake news and everyone knows it ",-1,-1,-1
"322","2017-03-21","thank you louisville kentucky together we will make america safe and great again  t co qggwewuvek",1,1,1
"326","2017-03-23","a great american kurt cochran was killed in the london terror attack my prayers and condolences are with his family and friends ",-1,-1,-1
"328","2017-03-23","just watched the totally biased and fake news reports of the so called russia story on nbc and abc such dishonesty ",-1,-1,-1
"329","2017-03-23","it was an honor to welcome so many truckers and trucking industry leaders to the whitehouse today  t co m veoovbne",1,1,1
"330","2017-03-23","we are taking action to repealandreplace obamacare contact your rep amp tell them you support ahca passthebill  t co lsrdjxfzb",1,1,1
"334","2017-03-24","today i was pleased to announce the official approval of the presidential permit for the keystonepipeline a grea  t co gwno xaueg",1,1,1
"336","2017-03-24","after seven horrible years of obamacare skyrocketing premiums amp deductibles bad healthcare this is finally your chance for a great plan ",-1,-1,-1
"337","2017-03-25","happy medalofhonorday to our heroes  t co juab rmmh  t co sw ea owuf",1,1,1
"342","2017-03-26","democrats are smiling in d c that the freedom caucus with the help of club for growth and heritage have saved planned parenthood amp ocare ",1,1,1
"343","2017-03-27"," money to bill the hillary russian reset praise of russia by hillary or podesta russian company trump russia story is a hoax maga ",1,1,1
"344","2017-03-27","why isn t the house intelligence committee looking into the bill amp hillary deal that allowed big uranium to go to russia russian speech ",1,1,1
"348","2017-03-28","why doesn t fake news talk about podesta ties to russia as covered by foxnews or money from russia to clinton sale of uranium ",-1,1,-1
"349","2017-03-28","it was an honor to welcome glfop to the whitehouse today with vp pence amp attorney general sessions thank you fo  t co vhztb c h",1,1,1
"353","2017-03-29","remember when the failing nytimes apologized to its subscribers right after the election because their coverage was so wrong now worse ",-1,-1,-1
"354","2017-03-29","today s eo established a commission on combating drug addiction and the opioid crisis watch listening session  t co oof ediqst",-1,-1,-1
"359","2017-03-30"," and job losses american companies must be prepared to look at other alternatives ",-1,1,1
"360","2017-03-30","the failing nytimes has disgraced the media world gotten me wrong for two solid years change libel laws  t co qiqlgvylli",-1,-1,-1
"361","2017-03-30","great op ed from repkenbuck looks like some in the freedom caucus are helping me end obamacare  t co y vtnibtbz",1,1,1
"365","2017-03-30","today we honored our true american heroes on the first ever national vietnam war veterans day thankaveteran  t co deohapcv j",1,-1,1
"367","2017-03-31"," trump celebrates american manufacturing survey showing highest level of optimism in years  t co cvwxoa mjy",1,1,1
"368","2017-03-31","great meeting with a wonderful woman today former secretary of state condoleezza rice usa  t co zuriic ywg",1,1,1
"369","2017-03-31","it was an honor to welcome the prime minister of denmark lars l kke rasmussen larsloekke to the whitehouse yes  t co n g tivnsp",1,1,1
"370","2017-03-31","mike flynn should ask for immunity in that this is a witch hunt excuse for big election loss by media amp dems of historic proportion ",-1,-1,-1
"371","2017-03-31","it is an exciting time for our country weeklyaddress confirmgorsuch  t co tp bkvtobq",1,1,1
"374","2017-04-01","when will sleepy eyes chuck todd and nbcnews start talking about the obama surveillance scandal and stop with the fake trump russia story ",-1,-1,-1
"376","2017-04-01","it is the same fake news media that said there is no path to victory for trump that is now pushing the phony russia story a total scam ",-1,-1,-1
"379","2017-04-01","wow foxnews just reporting big news source official behind unmasking is high up known intel official is responsible some unmasked ",1,1,1
"382","2017-04-02","talks on repealing and replacing obamacare are and have been going on and will continue until such time as a deal is hopefully struck ",-1,1,1
"384","2017-04-02","anybody especially fake news media who thinks that repeal amp replace of obamacare is dead does not know the love and strength in r party ",-1,1,-1
"385","2017-04-02","melania and i are honored to light up the whitehouse this evening for worldautismawarenessday join us amp liub  t co tr hqqywvv",1,1,1
"386","2017-04-03","getting ready to meet president al sisi of egypt on behalf of the united states i look forward to a long and wonderful relationship ",1,1,1
"387","2017-04-03","it was an honor to welcome president al sisi of egypt to the whitehouse as we renew the historic partnership betwe  t co mragvcphz",1,1,1
"393","2017-04-04","great to talk jobs with nabtu tremendous spirit amp optimism we will deliver  t co lruqzzhrc",1,1,1
"395","2017-04-04","thank you sean mcgarvey amp the entire governing board of presidents for honoring me w an invite to speak nabtu  t co djlzvlq tj",1,1,1
"397","2017-04-05","i am deeply committed to preserving our strong relationship amp to strengthening america s long standing support for  t co gxror alce",1,1,1
"399","2017-04-06","it was an honor to host our american heroes from the wwp soldierridedc at the whitehouse today with flotus vp  t co u ai pupvv",1,1,1
"400","2017-04-07","rt ivankatrump very proud of arabella and joseph for their performance in honor of president xi jinping and madame peng liyuan s official ",1,1,1
"401","2017-04-08","judge gorsuch will be sworn in at the rose garden of the white house on monday at a m he will be a great justice very proud of him ",1,1,1
"402","2017-04-08","the reason you don t generally hit runways is that they are easy and inexpensive to quickly fix fill in and top ",1,1,1
"405","2017-04-08","it was a great honor to have president xi jinping and madame peng liyuan of china as our guests in the united states tremendous ",1,1,1
"407","2017-04-09"," confidence that president al sisi will handle situation properly ",1,1,1
"408","2017-04-09","so sad to hear of the terrorist attack in egypt u s strongly condemns i have great ",-1,-1,-1
"409","2017-04-10","congratulations to justice neil gorsuch on his elevation to the united states supreme court a great day for americ  t co rm lftaeps",1,1,1
"410","2017-04-10","happy passover to everyone celebrating in the united states of america israel and around the world chagsameach",1,1,1
"412","2017-04-11","great strategic amp policy ceo forum today with my cabinet secretaries and top ceo s from around the united states  t co pmgil opp",1,1,1
"413","2017-04-11","ron estes is running today for congress in the great state of kansas a wonderful guy i need his help on healthcare amp tax cuts reform ",1,1,1
"415","2017-04-11","north korea is looking for trouble if china decides to help that would be great if not we will solve the problem without them u s a ",-1,-1,1
"416","2017-04-12","had a very good call last night with the president of china concerning the menace of north korea ",-1,1,1
"417","2017-04-12","i will be interviewed by mariabartiromo at a m foxbusiness enjoy ",1,1,1
"422","2017-04-12","great meeting w nato sec gen we agreed on the importance of getting countries to pay their fair share amp focus on  t co g tdjwezmh",1,1,1
"423","2017-04-13","it was a great honor to welcome atlanta s heroic first responders to the white house this afternoon  t co ztc aj xs",1,1,1
"424","2017-04-13","i have great confidence that china will properly deal with north korea if they are unable to do so the u s with its allies will u s a ",1,1,1
"425","2017-04-13","things will work out fine between the u s a and russia at the right time everyone will come to their senses amp there will be lasting peace ",1,1,1
"428","2017-04-14","rt drudge report great again feds arrest murder suspect in fast and furious scandal  t co clolxte d ",-1,-1,-1
"431","2017-04-16","our military is building and is rapidly becoming stronger than ever before frankly we have no choice ",1,1,1
"434","2017-04-16","happy easter to everyone ",1,1,1
"435","2017-04-17","the fake media not real media has gotten even worse since the election every story is badly slanted we have to hold them to the truth ",-1,-1,-1
"436","2017-04-17","trump approval hits  t co vjzkgtyqb ",1,1,1
"437","2017-04-17","rt drudge report trump approval hits  t co trux wzr u",1,1,1
"440","2017-04-17"," the first days of my presidency has exposed the total failure of the last eight years of foreign policy so true foxandfriends",-1,-1,-1
"441","2017-04-17","a great book for your reading enjoyment reasons to vote for democrats by michael j knowles ",1,1,1
"442","2017-04-18","democrat jon ossoff would be a disaster in congress very weak on crime and illegal immigration bad for jobs and wants higher taxes say no",-1,-1,-1
"443","2017-04-18","i will be interviewed on foxandfriends by ainsleyearhardt starting at a m enjoy ",1,1,1
"445","2017-04-18","the weak illegal immigration policies of the obama admin allowed bad ms gangs to form in cities across u s we are removing them fast ",-1,-1,-1
"447","2017-04-18","with eleven republican candidates running in georgia on tuesday for congress a runoff will be a win vote r for lower taxes amp safety ",1,-1,1
"449","2017-04-19","today i signed the veterans our heroes choice program extension amp improvement act the whitehouse s watch  t co smv sprmf",1,1,1
"450","2017-04-19","a great honor to host the superbowl champion new england patriots at the white house today congratulations  t co tq xepaixn",1,1,1
"452","2017-04-19","despite major outside money fake media support and eleven republican candidates big r win with runoff in georgia glad to be of help ",1,1,1
"454","2017-04-20","failing nytimes which has been calling me wrong for two years just got caught in a big lie concerning new england patriots visit to w h ",-1,-1,-1
"456","2017-04-20","a great honor to host pm paolo gentiloni of italy at the white house this afternoon icymi joint press conference  t co ljavezjv f",1,1,1
"459","2017-04-21","china is very much the economic lifeline to north korea so while nothing is easy if they want to solve the north korean problem they will",1,-1,1
"460","2017-04-21","rt foxandfriends nyt editor apologizes for misleading tweet about new england patriots visit to the white house via foxfriendsfirst h ",-1,1,-1
"464","2017-04-22","i am committed to keeping our air and water clean but always remember that economic growth enhances environmental protection jobs matter ",1,1,1
"465","2017-04-22","today on earth day we celebrate our beautiful forests lakes and land we stand committed to preserving the natural beauty of our nation ",1,1,1
"468","2017-04-22","getting ready to visit walter reed medical center with melania looking forward to seeing our bravest and greatest americans ",1,1,1
"470","2017-04-22","rt foxandfriends chicago approves new plan to hide illegal immigrants from the feds plus give them access to city services  t co ",-1,-1,-1
"471","2017-04-22","after sb victories since it was my honor to give bob kraft coach belichick and the players their first to  t co uzpkjqogzy",1,1,1
"473","2017-04-23","new polls out today are very good considering that much of the media is fake and almost always negative would still beat hillary in ",-1,-1,-1
"474","2017-04-23","eventually but at a later date so we can get started early mexico will be paying in some form for the badly needed border wall ",-1,-1,-1
"476","2017-04-23","obamacare is in serious trouble the dems need big money to keep it going otherwise it dies far sooner than anyone would have thought ",-1,1,-1
"477","2017-04-23","thank you lake worth florida foxandfriends",1,1,1
"483","2017-04-24","the two fake news polls released yesterday abc amp nbc while containing some very positive info were totally wrong in general e watch ",-1,-1,-1
"492","2017-04-26","happy birthday to our flotus melania  t co ryyp mxdq  t co np kyhglsv",1,1,1
"494","2017-04-26"," the ninth circuit which has a terrible record of being overturned close to they used to call this judge shopping messy system ",-1,-1,-1
"495","2017-04-26","a great great honor to welcome amp recognize the national teacher of the year as well as the teacher of the year fro  t co pugl rdovx",1,1,1
"497","2017-04-26","democrats are trying to bail out insurance companies from disastrous obamacare and puerto rico with your tax dollars sad ",-1,-1,-1
"499","2017-04-26","the u s recorded its slowest economic growth in five years gdp up only trade deficits hurt the economy very badly ",-1,-1,-1
"500","2017-04-27"," flotus melania and i were honored to welcome argentina president mauriciomacri and first lady juliana awada to t  t co gr epznu h",1,1,1
"502","2017-04-27","today i signed an executive order on improving accountability and whistleblower protection at the deptvetaffairs  t co uq vncyhlj",1,1,1
"504","2017-04-27"," subject to the fact that if we do not reach a fair deal for all we will then terminate nafta relationships are good deal very possible ",1,1,1
"506","2017-04-27","as families prepare for summer vacations in our national parks democrats threaten to close them and shut down the government terrible ",-1,-1,-1
"508","2017-04-27","the democrats want to shut government if we don t bail out puerto rico and give billions to their insurance companies for ocare failure no ",-1,-1,-1
"513","2017-04-28","we are making tremendous progress with the v a there has never been so much done so quickly and we have just started we love our vets ",1,1,1
"514","2017-04-28","rt foxandfriends former president obama s k wall street speech stuns liberal base sen warren saying she was troubled by that ",-1,1,-1
"515","2017-04-28","i will be interviewed by marthamaccallum on foxnews tonight at pm enjoy ",1,1,1
"516","2017-04-29"," loudobbs just stated that president trump s successes are unmatched in recent presidential history thank you lou ",1,1,1
"519","2017-04-29","mainstream fake media refuses to state our long list of achievements including legislative signings strong borders amp great optimism ",1,1,1
"521","2017-04-30","the democrats without a leader have become the party of obstruction they are only interested in themselves and not in what s best for u s ",-1,1,1
"524","2017-04-30","big excitement last night in the great state of pennsylvania fantastic crowd and people make america great again ",1,1,1
"527","2017-05-01","this month we celebrate the contributions of asian americans amp pacific islanders that enrich our nation  t co reji ahoay",1,1,1
"530","2017-05-02","either elect more republican senators in or change the rules now to our country needs a good shutdown in september to fix mess ",-1,1,1
"532","2017-05-03","fbi director comey was the best thing that ever happened to hillary clinton in that he gave her a free pass for many bad deeds the phony ",-1,-1,1
"533","2017-05-03","an honor to host president mahmoud abbas at the wh today hopefully something terrific could come out it between th  t co eyhlfzbkhn",1,1,1
"535","2017-05-03","it was an honor to stop by a schoolchoice event hosted by vp pence and usedgov secretary betsydevosed at the  t co b vxvsynha",1,1,1
"537","2017-05-04","beautiful evening with religious leaders here at the wh last night join us now for a nationaldayofprayer live  t co b j twzjuv",1,1,1
